timestamp,gx,gy,gz,ax,ay,az
611507531.0,-57.0,8.0,-46.0,-1530.0,-631.0,16738.0
611517531.0,27.0,46.0,20.0,-1491.0,-721.0,16784.0
611527531.0,146.0,98.0,126.0,-1349.0,-725.0,16770.0
611537531.0,252.0,221.0,227.0,-1367.0,-633.0,16740.0
611547531.0,314.0,352.0,266.0,-1657.0,-393.0,16686.0
611557531.0,316.0,399.0,268.0,-1882.0,-164.0,16847.0
611567531.0,249.0,377.0,243.0,-2164.0,112.0,16848.0
611577531.0,19.0,134.0,125.0,-2672.0,114.0,17003.0
611587531.0,-124.0,-203.0,204.0,-2292.0,-800.0,17031.0
611597531.0,31.0,-294.0,446.0,-2058.0,-1545.0,17372.0
611607531.0,489.0,-158.0,1165.0,-2491.0,-1453.0,18418.0
611617531.0,1122.0,-139.0,2600.0,-2926.0,-1626.0,19254.0
611627531.0,2273.0,-448.0,4317.0,-2797.0,-2819.0,19787.0
611637531.0,3804.0,-747.0,5624.0,-1774.0,-3845.0,19325.0
611647531.0,5459.0,-618.0,5780.0,-1516.0,-4407.0,19051.0
611657531.0,7331.0,-105.0,5515.0,-2371.0,-5296.0,20573.0
611667531.0,9490.0,377.0,5513.0,-3718.0,-4267.0,22246.0
611677531.0,10521.0,646.0,5013.0,-6762.0,-5061.0,24559.0
611687531.0,12114.0,-282.0,4598.0,-9966.0,-6651.0,25724.0
611697531.0,14727.0,-4574.0,3991.0,-11368.0,-8098.0,26310.0
611707531.0,17528.0,-9904.0,2756.0,-11366.0,-9187.0,26504.0
611717531.0,20777.0,-14900.0,1367.0,-9898.0,-9595.0,25057.0
611727531.0,24742.0,-18780.0,266.0,-7759.0,-8096.0,22764.0
611737531.0,28056.0,-21553.0,-820.0,-5129.0,-5721.0,19680.0
611747531.0,30142.0,-23293.0,-1924.0,-2787.0,-2886.0,16979.0
611757531.0,31203.0,-23819.0,-2806.0,-333.0,-565.0,14614.0
611767531.0,31431.0,-23185.0,-3313.0,1290.0,1780.0,13086.0
611777531.0,30917.0,-21781.0,-3300.0,1851.0,3063.0,11761.0
611787531.0,30187.0,-20749.0,-3101.0,2053.0,4233.0,10582.0
611797531.0,29035.0,-20497.0,-2966.0,2717.0,4402.0,9990.0
611807531.0,28226.0,-19868.0,-2872.0,3439.0,3222.0,9646.0
611817531.0,28844.0,-18615.0,-2468.0,3510.0,2296.0,9223.0
611827531.0,30636.0,-17491.0,-1746.0,3419.0,3800.0,8542.0
611837531.0,31901.0,-16479.0,-1303.0,3320.0,6151.0,8011.0
611847531.0,32170.0,-15678.0,-1112.0,2661.0,9089.0,7627.0
611857531.0,31071.0,-15427.0,-846.0,1651.0,10414.0,7511.0
611867531.0,29874.0,-15611.0,-390.0,1610.0,11607.0,7287.0
611877531.0,26517.0,-16791.0,-556.0,3284.0,11063.0,4939.0
611887531.0,25221.0,-17183.0,-1288.0,4654.0,10328.0,4062.0
611897531.0,25068.0,-16582.0,-1752.0,5102.0,11000.0,3338.0
611907531.0,24812.0,-15575.0,-1516.0,5168.0,11629.0,2434.0
611917531.0,24421.0,-14799.0,-1201.0,5483.0,13058.0,1627.0
611927531.0,23296.0,-14044.0,-1223.0,5539.0,13901.0,609.0
611937531.0,21685.0,-13605.0,-1693.0,5824.0,14078.0,-362.0
611947531.0,19989.0,-13172.0,-2178.0,6172.0,13648.0,-948.0
611957531.0,18920.0,-12765.0,-2418.0,6618.0,13850.0,-1730.0
611967531.0,17863.0,-12081.0,-2648.0,7125.0,14381.0,-2289.0
611977531.0,16796.0,-11246.0,-2934.0,7344.0,15089.0,-2645.0
611987531.0,15449.0,-10167.0,-3025.0,7593.0,16158.0,-2878.0
611997531.0,13635.0,-8613.0,-2873.0,7723.0,16346.0,-2902.0
612007531.0,12072.0,-6789.0,-2659.0,7526.0,15915.0,-3207.0
612017531.0,10832.0,-5711.0,-2500.0,7572.0,15780.0,-3405.0
612027531.0,9710.0,-4463.0,-2522.0,7425.0,15982.0,-3466.0
612037531.0,8608.0,-3173.0,-2506.0,6385.0,16571.0,-3115.0
612047531.0,7472.0,-2360.0,-2210.0,5135.0,17223.0,-2777.0
612057531.0,6267.0,-2263.0,-1775.0,4953.0,17953.0,-2287.0
612067531.0,4836.0,-1981.0,-1397.0,4739.0,18004.0,-2027.0
612077531.0,3563.0,-2130.0,-1217.0,4856.0,17516.0,-2058.0
612087531.0,2587.0,-2551.0,-1290.0,5436.0,17180.0,-2208.0
612097531.0,1629.0,-2815.0,-1443.0,6302.0,16894.0,-2365.0
612107531.0,1048.0,-2639.0,-1531.0,6723.0,16554.0,-2537.0
612117531.0,623.0,-2265.0,-1442.0,7008.0,16550.0,-2819.0
612127531.0,275.0,-1926.0,-1359.0,7669.0,16210.0,-2897.0
612137531.0,60.0,-1312.0,-1347.0,8320.0,16468.0,-3124.0
612147531.0,-409.0,-174.0,-1249.0,8092.0,15859.0,-3213.0
612157531.0,-427.0,931.0,-1117.0,7893.0,15643.0,-3487.0
612167531.0,-423.0,1888.0,-1088.0,7643.0,15572.0,-3725.0
612177531.0,-402.0,2631.0,-1129.0,7370.0,16021.0,-3657.0
612187531.0,-1017.0,4676.0,-1047.0,6683.0,17288.0,-3621.0
612197531.0,-1842.0,5403.0,-899.0,6037.0,18478.0,-3552.0
612207531.0,-3303.0,5879.0,-773.0,5115.0,19669.0,-3735.0
612217531.0,-5544.0,5923.0,-625.0,5035.0,21300.0,-4158.0
612227531.0,-8295.0,5912.0,-593.0,5887.0,21947.0,-4653.0
612237531.0,-11581.0,6523.0,-234.0,6853.0,21285.0,-5188.0
612247531.0,-14616.0,7913.0,881.0,7534.0,19814.0,-4998.0
612257531.0,-16591.0,9879.0,2502.0,8067.0,18913.0,-4533.0
612267531.0,-17985.0,12247.0,3973.0,7760.0,18077.0,-3837.0
612277531.0,-19324.0,14708.0,4985.0,6923.0,16181.0,-2908.0
612287531.0,-19908.0,16815.0,5504.0,5924.0,14047.0,-1926.0
612297531.0,-19748.0,18445.0,5557.0,5240.0,12868.0,-908.0
612307531.0,-19714.0,19793.0,5104.0,4377.0,12406.0,176.0
612317531.0,-20162.0,20457.0,3854.0,3538.0,12111.0,972.0
612327531.0,-20870.0,20117.0,1989.0,3439.0,12242.0,1881.0
612337531.0,-22396.0,19555.0,269.0,4264.0,12898.0,2800.0
612347531.0,-24618.0,19410.0,-1049.0,4245.0,12072.0,3923.0
612357531.0,-26458.0,20193.0,-1467.0,3559.0,10857.0,5197.0
612367531.0,-27359.0,21281.0,-1407.0,2084.0,9583.0,6413.0
612377531.0,-27717.0,21491.0,-1498.0,834.0,9709.0,7113.0
612387531.0,-28817.0,20983.0,-1638.0,-391.0,9968.0,8686.0
612397531.0,-29820.0,20311.0,-1203.0,-1679.0,9666.0,10016.0
612407531.0,-30471.0,19192.0,-592.0,-2494.0,9104.0,10777.0
612417531.0,-31193.0,16980.0,-248.0,-2606.0,8254.0,11444.0
612427531.0,-31902.0,14327.0,-510.0,-1022.0,7298.0,11905.0
612437531.0,-32663.0,12831.0,-1383.0,469.0,5493.0,12314.0
612447531.0,-32764.0,12313.0,-2390.0,1715.0,4440.0,12421.0
612457531.0,-32764.0,12594.0,-3318.0,3219.0,3265.0,11762.0
612467531.0,-32764.0,13463.0,-4472.0,4650.0,1086.0,10943.0
612477531.0,-32764.0,15274.0,-5125.0,5238.0,-1004.0,10699.0
612487531.0,-32370.0,22174.0,-4271.0,2350.0,-3737.0,12781.0
612497531.0,-30296.0,25955.0,-3023.0,-1570.0,-5518.0,13822.0
612507531.0,-27323.0,26900.0,-2641.0,-4973.0,-7660.0,15022.0
612517531.0,-23967.0,25121.0,-3023.0,-6754.0,-7986.0,16600.0
612527531.0,-20707.0,22631.0,-3691.0,-8356.0,-7088.0,17991.0
612537531.0,-17901.0,19667.0,-4181.0,-10004.0,-5615.0,18640.0
612547531.0,-15622.0,15862.0,-4579.0,-10229.0,-5162.0,18736.0
612557531.0,-13736.0,10887.0,-4819.0,-16642.0,3281.0,23465.0
612567531.0,-19783.0,3669.0,-6187.0,-31119.0,9041.0,32708.0
612577531.0,-19629.0,-5683.0,-8969.0,-17842.0,-14111.0,29377.0
612587531.0,-8731.0,-17451.0,-6542.0,-74.0,-16049.0,24203.0
612597531.0,-564.0,-10488.0,-2409.0,6120.0,-2492.0,19017.0
612607531.0,-518.0,1003.0,-1087.0,-718.0,-4069.0,13703.0
612617531.0,108.0,873.0,-561.0,-4741.0,-2437.0,12426.0
612627531.0,-60.0,-2798.0,-1017.0,-2718.0,748.0,14317.0
612637531.0,-2054.0,-2080.0,-1813.0,-2741.0,1115.0,16494.0
612647531.0,-3188.0,-1009.0,-1671.0,-4164.0,-70.0,18616.0
612657531.0,-2560.0,-847.0,-616.0,-3487.0,-1247.0,18325.0
612667531.0,-1900.0,-653.0,108.0,-3270.0,-2104.0,16682.0
612677531.0,-1362.0,-1075.0,570.0,-2667.0,-2212.0,15756.0
612687531.0,-950.0,-1500.0,1058.0,-2530.0,-2162.0,16141.0
612697531.0,-329.0,-1388.0,1351.0,-2687.0,-2062.0,16643.0
612707531.0,401.0,-1180.0,1524.0,-2787.0,-1593.0,16848.0
612717531.0,1001.0,-1121.0,1544.0,-2240.0,-822.0,16798.0
612727531.0,1227.0,-649.0,1421.0,-1978.0,-276.0,16674.0
612737531.0,1238.0,-167.0,1193.0,-2214.0,-61.0,16666.0
612747531.0,1243.0,101.0,998.0,-2324.0,128.0,16651.0
612757531.0,1182.0,291.0,788.0,-2681.0,152.0,16589.0
612767531.0,1064.0,212.0,549.0,-2972.0,-1.0,16540.0
612777531.0,1052.0,-14.0,399.0,-3114.0,-330.0,16573.0
612787531.0,1437.0,-532.0,393.0,-2741.0,-973.0,16532.0
612797531.0,1886.0,-603.0,347.0,-2325.0,-552.0,16639.0
612807531.0,2146.0,-274.0,256.0,-2410.0,535.0,16749.0
612817531.0,1888.0,110.0,129.0,-2634.0,1570.0,16499.0
612827531.0,1172.0,148.0,35.0,-2704.0,2093.0,16402.0
612837531.0,294.0,110.0,-93.0,-2856.0,1657.0,16493.0
612847531.0,-340.0,59.0,-259.0,-3138.0,822.0,16587.0
612857531.0,-642.0,-53.0,-389.0,-3353.0,86.0,16766.0
612867531.0,-717.0,-230.0,-455.0,-3388.0,-341.0,16782.0
612877531.0,-627.0,-355.0,-425.0,-3347.0,-560.0,16759.0
612887531.0,-414.0,-475.0,-334.0,-3248.0,-483.0,16722.0
