timestamp,gx,gy,gz,ax,ay,az
1531587531.0,9562.0,9098.0,5960.0,7068.0,1523.0,2047.0
1531597531.0,11177.0,13240.0,6296.0,6090.0,1018.0,3745.0
1531607531.0,11905.0,18390.0,5764.0,5295.0,984.0,5725.0
1531617531.0,9255.0,25448.0,3934.0,3642.0,2910.0,6926.0
1531627531.0,-33.0,31651.0,1144.0,-2877.0,2890.0,3605.0
1531637531.0,-8285.0,32504.0,-1262.0,-32119.0,13771.0,30167.0
1531647531.0,-29296.0,23782.0,-17717.0,-20463.0,-15028.0,32764.0
1531657531.0,-17583.0,318.0,-6735.0,-1925.0,-23803.0,31195.0
1531667531.0,13079.0,-6786.0,7340.0,-2536.0,-4913.0,8804.0
1531677531.0,17960.0,-8505.0,4976.0,-2315.0,8513.0,-4633.0
1531687531.0,-2978.0,-14349.0,1470.0,1929.0,4462.0,9066.0
1531697531.0,-11992.0,-13713.0,-288.0,-3361.0,-9985.0,15375.0
1531707531.0,83.0,-12260.0,-393.0,-3690.0,-11252.0,16362.0
1531717531.0,12377.0,-7358.0,-1075.0,-5061.0,-1719.0,20928.0
1531727531.0,10448.0,-7480.0,-1960.0,-9548.0,5766.0,23777.0
1531737531.0,1262.0,-14396.0,-3539.0,-4980.0,4187.0,19565.0
1531747531.0,-2464.0,-16849.0,-4372.0,-2223.0,909.0,16986.0
1531757531.0,-3002.0,-15606.0,-4235.0,-391.0,2020.0,13736.0
1531767531.0,-4871.0,-16025.0,-3831.0,1829.0,2050.0,9893.0
1531777531.0,-6762.0,-16846.0,-3025.0,6448.0,471.0,8116.0
1531787531.0,-6484.0,-13449.0,-1751.0,9847.0,1138.0,5705.0
1531797531.0,-4457.0,-6041.0,-106.0,11939.0,-551.0,2875.0
1531807531.0,625.0,3064.0,2775.0,8956.0,454.0,-1316.0
1531817531.0,11942.0,16471.0,7081.0,6760.0,144.0,-585.0
1531827531.0,16111.0,20756.0,7123.0,6155.0,483.0,1663.0
1531837531.0,17811.0,25512.0,5454.0,4087.0,752.0,8466.0
1531847531.0,12727.0,31027.0,3604.0,-28275.0,12790.0,28757.0
1531857531.0,-24374.0,23339.0,-12310.0,-13772.0,-7192.0,32764.0
1531867531.0,-25842.0,16862.0,-4111.0,4455.0,-7332.0,14126.0
1531877531.0,-3046.0,9647.0,4251.0,-3133.0,-7841.0,-7945.0
1531887531.0,15134.0,1043.0,2721.0,-7440.0,549.0,148.0
1531897531.0,9916.0,-9176.0,833.0,-4220.0,5735.0,10865.0
1531907531.0,-2815.0,-13340.0,581.0,-5059.0,3609.0,17837.0
1531917531.0,-4643.0,-14585.0,225.0,-3495.0,-697.0,20626.0
1531927531.0,-343.0,-10713.0,740.0,187.0,279.0,17257.0
1531937531.0,337.0,-4059.0,199.0,-668.0,1127.0,15303.0
1531947531.0,-1675.0,-27.0,-472.0,-2372.0,-614.0,14577.0
1531957531.0,-1483.0,1298.0,-711.0,-2752.0,-1381.0,15706.0
1531967531.0,-511.0,1060.0,-652.0,-3224.0,-1433.0,17448.0
1531977531.0,-597.0,423.0,-585.0,-1969.0,-1319.0,17961.0
1531987531.0,-1246.0,853.0,-455.0,-1553.0,-1684.0,17333.0
1531997531.0,-1478.0,1808.0,-373.0,-1022.0,-1951.0,16924.0
1532007531.0,-308.0,1917.0,-311.0,-2548.0,-2362.0,16737.0
1532017531.0,1161.0,1396.0,-284.0,-1983.0,-1402.0,17213.0
1532027531.0,1924.0,552.0,-225.0,-2643.0,-407.0,16912.0
1532037531.0,1776.0,-816.0,-184.0,-2364.0,-25.0,16901.0
1532047531.0,1445.0,-1647.0,-69.0,-2043.0,203.0,17034.0
1532057531.0,961.0,-1812.0,-54.0,-1687.0,322.0,17081.0
1532067531.0,417.0,-1434.0,-79.0,-1858.0,81.0,16977.0
1532077531.0,-20.0,-1051.0,-103.0,-1864.0,93.0,16720.0
1532087531.0,-360.0,-586.0,-143.0,-2036.0,-295.0,16603.0
1532097531.0,-411.0,-280.0,-163.0,-2203.0,-624.0,16625.0
1532107531.0,-309.0,-127.0,-180.0,-2187.0,-721.0,16632.0
1532117531.0,-76.0,84.0,-185.0,-2233.0,-725.0,16777.0
1532127531.0,-169.0,87.0,-133.0,-2225.0,-646.0,16725.0
1532137531.0,-277.0,6.0,-76.0,-2253.0,-746.0,16652.0
1532147531.0,-229.0,-86.0,-47.0,-2218.0,-770.0,16656.0
1532157531.0,-73.0,-182.0,-5.0,-2239.0,-699.0,16759.0
1532167531.0,17.0,-331.0,-17.0,-2118.0,-761.0,16724.0
1532177531.0,164.0,-364.0,-81.0,-2068.0,-816.0,16592.0
1532187531.0,434.0,-325.0,-119.0,-2043.0,-562.0,16658.0
1532197531.0,525.0,-243.0,-121.0,-2061.0,-216.0,16682.0
1532207531.0,336.0,-139.0,-90.0,-2041.0,-146.0,16764.0
1532217531.0,43.0,-55.0,-68.0,-1949.0,-397.0,16756.0
1532227531.0,-114.0,73.0,-62.0,-1973.0,-619.0,16816.0
1532237531.0,-78.0,160.0,-53.0,-2009.0,-722.0,16910.0
1532247531.0,3.0,192.0,-33.0,-2110.0,-607.0,16801.0
1532257531.0,52.0,169.0,-28.0,-2147.0,-687.0,16668.0
1532267531.0,131.0,101.0,-27.0,-2160.0,-574.0,16762.0
1532277531.0,221.0,23.0,-29.0,-2203.0,-455.0,16681.0
1532287531.0,241.0,-54.0,-34.0,-2162.0,-433.0,16709.0
1532297531.0,193.0,-132.0,-29.0,-2122.0,-390.0,16763.0
1532307531.0,144.0,-137.0,-49.0,-2087.0,-477.0,16849.0
1532317531.0,161.0,-64.0,-75.0,-2071.0,-510.0,16658.0
1532327531.0,222.0,15.0,-104.0,-2114.0,-505.0,16654.0
1532337531.0,231.0,20.0,-115.0,-2167.0,-371.0,16772.0
1532347531.0,202.0,-1.0,-119.0,-2126.0,-373.0,16821.0
1532357531.0,151.0,11.0,-109.0,-2127.0,-426.0,16704.0
1532367531.0,84.0,9.0,-113.0,-2138.0,-412.0,16685.0
1532377531.0,50.0,-33.0,-106.0,-2207.0,-371.0,16738.0
1532387531.0,21.0,-102.0,-94.0,-2166.0,-378.0,16680.0
1532397531.0,17.0,-126.0,-58.0,-2144.0,-394.0,16715.0
1532407531.0,0.0,-129.0,-11.0,-2059.0,-462.0,16812.0
1532417531.0,-45.0,-95.0,-3.0,-2109.0,-505.0,16662.0
1532427531.0,-29.0,-63.0,32.0,-2116.0,-442.0,16687.0
1532437531.0,-79.0,-35.0,25.0,-2075.0,-500.0,16667.0
1532447531.0,-61.0,14.0,18.0,-2071.0,-531.0,16712.0
1532457531.0,-5.0,67.0,29.0,-2103.0,-450.0,16756.0
1532467531.0,-2.0,83.0,33.0,-2140.0,-570.0,16666.0
1532477531.0,6.0,74.0,31.0,-2160.0,-459.0,16708.0
1532487531.0,52.0,48.0,33.0,-2172.0,-406.0,16769.0
1532497531.0,63.0,26.0,39.0,-2163.0,-432.0,16740.0
1532507531.0,29.0,-15.0,29.0,-2156.0,-477.0,16729.0
1532517531.0,46.0,-28.0,5.0,-2138.0,-466.0,16714.0
1532527531.0,84.0,-16.0,1.0,-2187.0,-319.0,16687.0
1532537531.0,31.0,-14.0,4.0,-2126.0,-361.0,16679.0
1532547531.0,-24.0,15.0,1.0,-2078.0,-523.0,16668.0
1532557531.0,-24.0,63.0,-14.0,-2112.0,-477.0,16698.0
1532567531.0,-11.0,94.0,-15.0,-2156.0,-416.0,16699.0
1532577531.0,-9.0,75.0,-28.0,-2156.0,-386.0,16769.0
1532587531.0,-12.0,38.0,-33.0,-2206.0,-309.0,16723.0
1532597531.0,-72.0,-1.0,-44.0,-2131.0,-447.0,16726.0
1532607531.0,-100.0,-17.0,-66.0,-2116.0,-556.0,16721.0
1532617531.0,-56.0,-44.0,-64.0,-2147.0,-527.0,16711.0
1532627531.0,-14.0,-80.0,-59.0,-2095.0,-479.0,16714.0
1532637531.0,1.0,-88.0,-63.0,-2115.0,-447.0,16702.0
1532647531.0,5.0,-57.0,-71.0,-2135.0,-395.0,16699.0
1532657531.0,-8.0,-26.0,-62.0,-2164.0,-356.0,16643.0
1532667531.0,-59.0,-37.0,-50.0,-2121.0,-450.0,16692.0
1532677531.0,-82.0,-19.0,-55.0,-2136.0,-574.0,16746.0
1532687531.0,-6.0,32.0,-65.0,-2132.0,-544.0,16692.0
1532697531.0,38.0,22.0,-68.0,-2177.0,-495.0,16679.0
1532707531.0,27.0,-20.0,-88.0,-2177.0,-415.0,16731.0
1532717531.0,28.0,-26.0,-103.0,-2175.0,-403.0,16708.0
1532727531.0,-33.0,-8.0,-105.0,-2113.0,-448.0,16641.0
1532737531.0,-67.0,-4.0,-98.0,-2112.0,-513.0,16661.0
1532747531.0,-30.0,1.0,-87.0,-2114.0,-542.0,16739.0
1532757531.0,-1.0,11.0,-81.0,-2133.0,-475.0,16728.0
1532767531.0,15.0,20.0,-69.0,-2138.0,-471.0,16671.0
1532777531.0,6.0,10.0,-54.0,-2116.0,-457.0,16741.0
1532787531.0,-12.0,-5.0,-59.0,-2137.0,-506.0,16787.0
1532797531.0,13.0,26.0,-65.0,-2121.0,-483.0,16782.0
